lcsc,Assembly Type,Assembly Type Batch,Assembly Process,Min Order Qty,Attrition Qty,Special Component Fee,Component Library Type,Describe
2296,smtWeld,smtWeld,SMT,20,10,0.0,base,
2297,smtWeld,smtWeld,SMT,20,10,0.0,base,
2480,smtWeld,smtWeld,SMT,5,10,0.0,base,
2488,smtWeld,smtWeld,SMT,10,5,0.0,base,
2500,smtWeld,smtWeld,SMT,10,5,0.0,base,
3113,smtWeld,smtWeld,SMT,5,4,0.0,base,
4109,smtWeld,smtWeld,SMT,20,10,0.0,base,
4172,smtWeld,smtWeld,SMT,20,10,0.0,expand,
4177,smtWeld,smtWeld,SMT,20,10,0.0,base,
4184,smtWeld,smtWeld,SMT,20,10,0.0,base,
4190,smtWeld,smtWeld,SMT,20,10,0.0,base,
4197,smtWeld,smtWeld,SMT,20,10,0.0,expand,
4211,smtWeld,smtWeld,SMT,20,10,0.0,base,
4216,smtWeld,smtWeld,SMT,20,10,0.0,base,
4260,smtWeld,smtWeld,SMT,20,10,0.0,base,
4275,smtWeld,smtWeld,SMT,20,10,0.0,base,
4310,smtWeld,smtWeld,SMT,20,10,0.0,base,-55℃~+155℃ 1.5kΩ 125mW 150V Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS
4328,smtWeld,smtWeld,SMT,20,10,0.0,base,-55℃~+155℃ 125mW 150V 20kΩ Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS
4360,smtWeld,smtWeld,SMT,20,10,0.0,expand,
4382,smtWeld,smtWeld,SMT,20,10,0.0,base,
4410,smtWeld,smtWeld,SMT,15,4,0.0,base,
5377,smtWeld,smtWeld,SMT,5,1,0.0,expand,-55℃~+150℃ 1.1V@1A 10uA@1kV 1A 1kV 30A Single-Phase Rectifier DBS Bridge Rectifiers ROHS
5378,smtWeld,smtWeld,SMT,20,10,0.0,base,
5446,smtWeld,smtWeld,SMT,5,2,0.0,base,
5590,smtWeld,smtWeld,SMT,1,0,0.0,expand,"-40℃~+125℃ 1 1.5V~4.2V 1.9V、3.7V、5.2V 100mV、400mV、400mV 14ns@6V,50pF 2V~6V 2uA 5.2mA 5.2mA 500mV~1.8V 6 74HC SOIC-14 Inverters ROHS"
5593,smtWeld,smtWeld,SMT,1,0,0.0,expand,
5605,smtWeld,smtWeld,SMT,1,0,0.0,base,
5613,smtWeld,smtWeld,SMT,1,0,0.0,expand,
5625,smtWeld,smtWeld,SMT,1,0,0.0,expand,"-40℃~+125℃ 1 160uA 2V~6V 7.8mA 7.8mA 74HC 8 9ns@4.5V,50pF Bidirectional Tri-State SOIC-20-300mil Buffers, Drivers, Receivers, Transceivers ROHS"
5672,smtWeld,smtWeld,SMT,5,8,0.0,expand,
5947,smtWeld,smtWeld,SMT,1,0,0.0,base,
6186,smtWeld,smtWeld,SMT,2,0,0.0,base,
6187,smtWeld,smtWeld,SMT,5,2,0.0,base,
6482,smtWeld,smtWeld,SMT,1,0,0.0,expand,
6521,smtWeld,smtWeld,SMT,1,0,0.0,expand,
6568,smtWeld,smtWeld,SMT,1,0,0.0,expand,
6649,smtWeld,smtWeld,SMT,5,4,0.0,expand,
6749,smtWeld,smtWeld,SMT,10,5,0.0,base,
6855,smtWeld,smtWeld,SMT,1,0,0.0,base,
6952,smtWeld,smtWeld,SMT,1,0,0.0,expand,
6961,smtWeld,smtWeld,SMT,1,0,0.0,base,
7063,smtWeld,smtWeld,SMT,1,0,0.0,expand,
7171,smtWeld,smtWeld,SMT,5,2,0.0,base,
7250,smtWeld,smtWeld,SMT,20,10,0.0,base,
7377,smtWeld,smtWeld,SMT,1,0,0.0,expand,
7426,smtWeld,smtWeld,SMT,1,0,0.0,base,
7433,smtWeld,smtWeld,SMT,1,0,0.0,base,
7440,smtWeld,smtWeld,SMT,1,0,0.0,expand,
7512,smtWeld,smtWeld,SMT,1,0,0.0,base,
7532,smtWeld,smtWeld,SMT,1,0,0.0,expand,
7562,smtWeld,smtWeld,SMT,1,0,0.0,expand,
7593,smtWeld,smtWeld,SMT,1,0,0.0,expand,
7722,smtWeld,smtWeld,SMT,5,0,0.0,expand,
7859,smtWeld,smtWeld,SMT,1,0,0.0,expand,
7881,smtWeld,smtWeld,SMT,1,0,0.0,expand,
7950,smtWeld,smtWeld,SMT,1,0,0.0,base,
7955,smtWeld,smtWeld,SMT,1,0,0.0,base,
7972,smtWeld,smtWeld,SMT,5,4,0.0,expand,
8218,smtWeld,smtWeld,SMT,20,10,0.0,base,
8254,smtWeld,smtWeld,SMT,1,0,0.0,expand,
8326,smtWeld,smtWeld,SMT,10,4,0.0,base,
8492,smtWeld,smtWeld,SMT,10,5,0.0,expand,
8512,smtWeld,smtWeld,SMT,10,5,0.0,base,
8542,smtWeld,smtWeld,SMT,10,5,0.0,base,-55℃~+150℃ 1 PNP 1.5A 100MHz 100nA 200 25V 300mW 500mV 5V PNP SOT-23 Bipolar (BJT) ROHS
8543,smtWeld,smtWeld,SMT,10,5,0.0,base,
8545,smtWeld,smtWeld,SMT,10,5,0.0,base,
8598,smtWeld,smtWeld,SMT,20,8,0.0,base,
8678,smtWeld,smtWeld,SMT,5,8,0.0,base,
8734,smtWeld,smtWeld,SMT,1,0,0.0,expand,-40℃~+85℃ 12bit 20KB 2V~3.6V 32 Bit 37 64KB 72MHz ARM Cortex-M3 Built-in FLASH LQFP-48(7x7) Microcontrollers (MCU/MPU/SOC) ROHS
8959,smtWeld,smtWeld,SMT,1,0,0.0,expand,
8963,smtWeld,smtWeld,SMT,1,0,0.0,base,-40℃~+85℃ 1 1 10Mbps 2mA 3.3V 32 Half-Duplex Transceiver SOIC-8 RS-485 / RS-422 ICs ROHS
9002,smtWeld,smtWeld,SMT,5,2,0.0,base,
9006,smtWeld,smtWeld,SMT,5,4,0.0,base,
9196,smtWeld,smtWeld,SMT,5,10,0.0,base,
9634,smtWeld,smtWeld,SMT,5,4,0.0,base,
9669,smtWeld,smtWeld,SMT,1,0,0.0,expand,
9683,smtWeld,smtWeld,SMT,1,0,0.0,expand,
9861,smtWeld,smtWeld,SMT,1,0,0.0,expand,
9864,smtWeld,smtWeld,SMT,1,0,0.0,base,
9865,smtWeld,smtWeld,SMT,1,0,0.0,expand,
10002,smtWeld,smtWeld,SMT,1,0,0.0,expand,
10487,smtWeld,smtWeld,SMT,5,4,0.0,base,
11616,smtWeld,smtWeld,SMT,20,10,0.0,expand,
11702,smtWeld,smtWeld,SMT,20,10,0.0,base,
12044,smtWeld,smtWeld,SMT,5,2,0.0,expand,
12084,smtWeld,smtWeld,SMT,1,0,0.0,expand,
12447,smtWeld,smtWeld,SMT,20,10,0.0,expand,
12530,smtWeld,smtWeld,SMT,20,10,0.0,base,
12674,smtWeld,smtWeld,SMT,2,1,0.0,base,
12891,smtWeld,smtWeld,SMT,5,4,0.0,base,
